epoch,Train_Loss,Train_dice_liver,Val_Loss,Val_dice_liver
1,0.6755,0.1607,0.6724,0.1319
2,0.6353,0.163,0.618,0.1549
3,0.5792,0.1901,0.5555,0.1876
4,0.5224,0.2213,0.4863,0.2328
5,0.4357,0.307,0.4153,0.2916
6,0.378,0.3544,0.3576,0.3503
7,0.3449,0.3846,0.3172,0.3978
8,0.3097,0.4295,0.29,0.4328
9,0.2878,0.4533,0.2705,0.4596
10,0.2602,0.5022,0.2542,0.4833
11,0.2545,0.5049,0.2416,0.5025
12,0.2578,0.4932,0.2306,0.5202
13,0.2273,0.5512,0.2213,0.536
14,0.2313,0.5437,0.215,0.5464
15,0.2312,0.5387,0.2065,0.5631
16,0.2123,0.5801,0.2041,0.5662
17,0.2247,0.5553,0.1997,0.5747
18,0.2244,0.548,0.1962,0.5818
19,0.2172,0.5674,0.1932,0.5881
20,0.208,0.5851,0.1932,0.5877
